pi2,fapc,raspberry,Pi,2,,
pibp,fapc,raspberry,Pi,B plus,,
ps2,game,sony,PS2,,,
ps3,game,sony,PS3,,,
psp,dps,gwinstek,,PSP-603,Power Supply(Switch),
pulizzi,pdu,pulizzi,,IPC3402-NET,PDU,
qnap,nas,qnap,,TS-469 Pro,NAS 4Bay,
sentorr,sensor,varian,SenTorr,,Vacuum Sensor,
sigma,md,sigma,CSG,,X-Stage,
slosyn,md,slosyn,,SS6000i,,
sparc,desktop,sun,Ultra-2,,sparc ultra 2,
srm1,plc,omron,,SRM1,,
startech,kvm,startech,,SV1110IPEXT,KVM o/IP Startech,
startech8ch,kvm,startech,,SV841HDIE,KVM o/IP 8ch,
systemax,note,systemax,Medallion XVII,,Full HD Note T7250,
thinkpad,note,ibm,ThinkPad,,Windows 2000,
tpg,sensor,pfeiffor,,TPG262,Vacuum Sensor,
twinwan,router,xincom,TWIN WAN,XC-DPG402,Twin Wan Router,
uniden,cam,uniden,,security-cam-c03,,
ups750,ups,apc,Smart-UPS,750RM,,
varian,cntrl,varian,,,Scroll Pump,
visio,tv,visio,,E551D-A0,"60"" TV",
vivi,cam,univivi,,U611W,Outdoor Wireless IP Camera,
wap,wap,lnksys,,,Wifi Access Point,
wbr,wbr,lnksys,,,Wifi Bridge,
wii,game,nintendo,Wii,Wii,,
xbox,game,microsoft,Xbox360,Xbox360,,
xperia,phone,sony,Xperia,Z3,Xperia Z3,
yokogawa,other,yokogawa,,DL750,Oscilloscope?,
z800,desktop,hp,,Z 800,HP Z800 Workstation,
zenbook,note,asus,ZenBook,ZenBook,Full HD Ultra Note,
