ibuy2	desktop	ibuy	Slate2	084i		Corei5-9400F,8GB,GTX1660Ti, SSD			
ibuy	desktop	ibuy	Special-B			Ryzen5/16GB, GTX1060/3G, SSD			
imillet	pdu	imillet	iMillet			Wifi Smart Power Strip (USB4, NEMA4)			
infinii	inst	keysight	InfiniiVision	DSOX1204A		Digital Storage Oscilloscope			
ipad2	tablet	apple	iPad 2	iPad2		White iPad2			
ipad-air	tablet	apple	iPad	iAir		White iPad Air			
ipad-pro18	tablet	apple	iPad	Pro 11in (2018)		Silver iPad Pro 2018 11in			
ipad-pro20	tablet	apple	iPad	Pro 11in (2020)		Silver iPad Pro 2020 11in			
ipad-pro	tablet	apple	iPad	Pro 12in		White iPad Pro 12in			
iphone3g	phone	apple	iPhone 3G						
iphone3gs	phone	apple	iPhone 3GS						
iphone4	phone	apple	iPhone4			iPhone4			
iphone5	phone	apple	iPhone5			iPhone5			
iphone5s	phone	apple	iPhone5s			iPhone5s			
iphone6	phone	apple	iPhone6			iPhone6 Black			
iphone8	phone	apple	iPhone8						
iphonese2	phone	apple	iPhoneSE	MXD22J/A		iPhoneSE(2020)			
iphonese	phone	apple	iPhoneSE			iPhoneSE			
iphonex	phone	apple	iPhoneX						
ixe	md	phytron	Phytron	IXEa-A					
k3nr	sensor	omron	Omron	K3NR		Pulse Meter			
kenwood	dps	kenwood	PW-A Series	IF-41RS		Power Supply(Serial)			
kindlehd	tablet	amazon	Kindle	Fire HD 8.9		9" Android Tab			
kuro-hd	nas	kuro	KuroBox	Kurobako-HD		NAS 1Bay			
kvm-aten	kvm	aten	Aten	CN-6000					
lk2	sensor	lakeshore	Lakeshore			Old			
lk8	sensor	lakeshore	Lakeshore	Model 340		8CH 			
ltx16ch	ds	lantronix	Lantronix	ETS16PR					
ltx32ch	ds	lantronix	Lantronix	ETS32PR					
ltx8ch	ds	lantronix	Lantronix	ETS8P					
ma7	note	gateway	Gateway	MA-7					
mac-air1	note	apple	MacBookAir			Core2Duo/SDD128GB			
mac-air2	note	apple	MacBookAir						
mac-mini	desktop	apple	iMac Mini			Core-i5			
mac-pro	note	apple	MacBookPro	A2918	Z1C8000N0	2023			
mela	plc	mitsubishi	MELSEC-A			A-Series			
melq	plc	mitsubishi	MELSEC-Q			PLC for Cart (Q series)			
milano	usb-w	realtek	Prestage Milano	8176		Sold by Prestage Milano			
mlp	plc	mitsubishi	MLP3			Telescope			
mogo	mp	xgimi	Xgimi	XK13S	P_FHD_2020	Projector			
mt25	router	glinet	GL.iNet	GL-MT2500		Sansho(Wireguard)			
mt30	router	glinet	GL.iNet	GL-MT3000		Ogawa(Wifi)			
mt6821	note	gateway	Gateway	MT-6821		Note Book			
mx410	printer	canon	Pixma	MX410		Ink Jet Printer			
nexus10	tablet	samsung	Nexus10	Nexus10		10" Android Tab			
nexus5	phone	lg	Nexus5			5" Android Phone			
nexus5x	phone	lg	Nexus5X	MTC19Z		5" Android Phone			
nexus7	tablet	google	Nexus7	Nexus7HD		7" Android Tab			
nintendo-sw	game	nintendo	Switch						
nsd	router	sony		NSD-G1000T		Sansho(Nuro)			
obr	wbr					Old Wireless Bridge			
ohmic	sensor	ohmic	Ohmic			Dew Sensor			
omap	sensor	omega	Omega	PX971		Air Pressure Sensor			
omco	dps	omega	Omega	D4251		Current Output			
omfl	sensor	omega	Omega			Flow Meter			
omhp	sensor	omega	Omega			Helium Pressure Sensor			
omhu	sensor	omega	Omega			Humidity Sensor			
p4sce	rack	supermicro	Supermicro	P4SCE		Rack mount server (CIAX)			
pannovo	cam	pannovo	Pannovo			Spy Camera			
pavilion2	desktop	hp	Pavilion Elite	Azlock Mother Board		Upgrade Mother Board			
pavilion	desktop	hp	Pavilion Elite	HPE-470f		AMD-6core			
pdsml	rack	supermicro	Supermicro	PDSML		Rack mount server (CXWS2)			
pdu-b	pdu	apc	APC	AP7900		APC 8ch PDU(Black) / Press Buttonl for 5sec to get IP			
pdu-w	pdu	apc	APC	AP9211		OLD 8ch PDU(White Type)			
pi1	fapc	raspberry	Raspberry Pi	B plus					
pi2	fapc	raspberry	Raspberry Pi	2B					
pi3	fapc	raspberry	Raspberry Pi	3B					
pi3p	fapc	raspberry	Raspberry Pi	3B plus					
pi4	fapc	raspberry	Raspberry Pi	4B					
pixel3	phone	google	Pixel 3						
pixel6	phone	google	Pixel 6						
precision	rack	dell	Precision	3930 Rack		Rack mount server (New CIAX)			
ps2	game	sony	PS2						
ps3	game	sony	PS3						
psp	dps	gwinstek	Gwinstek	PSP-603		Power Supply(Switch)			
pulizzi	pdu	pulizzi	Pulizzi	IPC3402-NET		PDU			
qnap-mini	nas	qnap	QNAP	TS-453mini		NAS 4Bay			
qnap	nas	qnap	QNAP	TS-469 Pro		NAS 4Bay			
r7000	router	netgear	Nighthawk	R7000		Wifi Router			
regza	desktop	toshiba	REGZA	LX10	PD71NBP-BHA	All in one			
rmmini	rem	broad	RM	Mini 3		IR remote control			
rmpro	rem	broad	RM	Pro Plus		IR/RF remote control			
sentorr	sensor	varian	SenTorr			Vacuum Sensor			
sigma	md	sigma	CSG			X-Stage			
slingbox	ms	sling	Slingbox	350		Slingbox			
slosyn	md	slosyn	Slosyn	SS6000i					
sonoff	spws	sonoff	Sonoff			Wifi Power Switch			
sparc	desktop	sun	Ultra-2			sparc ultra 2			
srm1	plc	omron	Omron	SRM1					
startech8ch	kvm	startech	Startech	SV841HDIE		KVM o/IP 8ch			
startech	kvm	startech	Startech	SV1110IPEXT		KVM o/IP Startech			
surface	note	microsoft	Surface	Book 2		2 in 1			
sv3c1	cam	sv3c	SV3C	SV-B06W-720P-HX		Bullet Camera			
sv3c	cam	sv3c	SV3C	SV-B11V-1080P-POE	SV-B01-1080PL	Bullet Camera			
systemax	note	systemax	Medallion XVII			Full HD Note T7250			
tc65	cam	tplink	Tapo	TC65		Outside Camera			
tera	nas	iodata	IO data	HDL2-S4.0	S4S0003854F3	NAS 4T			
thinkpad	note	ibm	ThinkPad			Windows 2000			
tpg	sensor	pfeiffor	Pfeiffor	TPG262		Vacuum Sensor			
twinwan	router	xincom	TWIN WAN	XC-DPG402		Twin Wan Router			
u59	desktop	beelink	Beelink	U59	U59V1-E-8256SD0W64PRO-A	Mini PC			
uniden	cam	uniden	Uniden	security-cam-c03					
ups750	ups	apc	Smart-UPS	750RM		UPS			
usba-e	usb-e								
varian	cryo	varian	Varian			Scroll Pump			
viera	tv	panasonic	Biera	E5		Wall TV			
visio	tv	visio	Visio	E551D-A0		60" TV			
vivi	cam	univivi	Univivi	U611W		Outdoor Wireless IP Camera	admin	admin	
wap	wap	lnksys	Linksys			Wifi Access Point			
wbr	wbr	lnksys	Linksys			Wifi Bridge			
wemo	spws	wemo	Wemo	Mini		Wifi Smart Plug			
wex	wex	buffalo	Buffalo	WEX-1166DHPS		Wifi Extender			
wguru	health	weightguru	Weight Gurus			Wifi Scale (US)			
wii	game	nintendo	Wii						
wintab	tablet	nextbook	nextbook	Flexx11		Windows Tablet			
with	health	nokia	Withings	Smart Body Analyzer	WS-50	Wifi Scale (Japan)			
xbox360	game	microsoft	Xbox	360					
xbox-one	game	microsoft	Xbox	One					
xbox-sx	game	microsoft	Xbox	Series X					
xperia	phone	sony	Xperia	Z3		Xperia Z3			
yi	cam	yi	YI	YHS 1916	B01CW4BG4K	Dome Camera PT			
yokogawa	other	yokogawa	Yokogawa	DL750		Oscilloscope?			
z800	desktop	hp	HP	Z 800		HP Z800 Workstation			
zenbook	note	asus	ZenBook	UX31		Full HD Ultra Note (2012)			
zte	phone	zte	Blade	V580		Cheap Smart Phone			
